date,adj_close
2010-05-28,7.6828
2010-06-04,7.6555
2010-06-11,7.5821
2010-06-18,8.1971
2010-06-25,7.9765
2010-07-02,7.3856
2010-07-09,7.7648
2010-07-16,7.4741
2010-07-23,7.7744
2010-07-30,7.6939
2010-08-06,7.7789
2010-08-13,7.4502
2010-08-20,7.4663
2010-08-27,7.2264
2010-09-03,7.7394
2010-09-10,7.8781
2010-09-17,8.2358
2010-09-24,8.7428
2010-10-01,8.4497
2010-10-08,8.7951
2010-10-15,9.4133
2010-10-22,9.1959
2010-10-29,9.0018
2010-11-05,9.4848
2010-11-12,9.2127
2010-11-19,9.1738
2010-11-26,9.4211
2010-12-03,9.4941
2010-12-10,9.5874
2010-12-17,9.5889
2010-12-23,9.6783
2010-12-31,9.6472
2011-01-07,10.0528
2011-01-14,10.4224
2011-01-21,9.7716
2011-01-28,10.0522
2011-02-04,10.3632
2011-02-11,10.6728
2011-02-18,10.4847
2011-02-25,10.4129
2011-03-04,10.767
2011-03-11,10.5274
2011-03-18,9.8898
2011-03-25,10.514
2011-04-01,10.3052
2011-04-08,10.0211
2011-04-15,9.7938
2011-04-21,10.4887
2011-04-29,10.4718
2011-05-06,10.368
2011-05-13,10.1838
2011-05-20,10.0259
2011-05-27,10.0914
2011-06-03,10.2717
2011-06-10,9.7471
2011-06-17,9.5784
2011-06-24,9.7606
2011-07-01,10.2663
2011-07-08,10.7583
2011-07-15,10.9141
2011-07-22,11.7629
2011-07-29,11.6786
2011-08-05,11.1743
2011-08-12,11.2751
2011-08-19,10.6483
2011-08-26,11.4722
2011-09-02,11.1872
2011-09-09,11.2898
2011-09-16,11.9783
2011-09-23,12.0919
2011-09-30,11.4046
2011-10-07,11.0601
2011-10-14,12.6213
2011-10-21,11.7501
2011-10-28,12.1114
2011-11-04,11.9705
2011-11-11,11.5033
2011-11-18,11.2138
2011-11-25,10.8738
2011-12-02,11.6553
2011-12-09,11.7725
2011-12-16,11.3957
2011-12-23,12.0629
2011-12-30,12.1129
2012-01-06,12.6333
2012-01-13,12.5558
2012-01-20,12.5705
2012-01-27,13.3774
2012-02-03,13.7482
2012-02-10,14.7574
2012-02-17,15.0176
2012-02-24,15.6244
2012-03-02,16.3054
2012-03-09,16.3051
2012-03-16,17.5134
2012-03-23,17.8268
2012-03-30,17.9315
2012-04-05,18.9523
2012-04-13,18.1014
2012-04-20,17.1369
2012-04-27,18.0347
2012-05-04,16.9057
2012-05-11,16.9493
2012-05-18,15.8628
2012-05-25,16.8171
2012-06-01,16.7783
2012-06-08,17.3564
2012-06-15,17.1712
2012-06-22,17.4096
2012-06-29,17.4664
2012-07-06,18.1208
2012-07-13,18.0936
2012-07-20,18.0736
2012-07-27,17.5011
2012-08-03,18.4145
2012-08-10,18.6734
2012-08-17,19.4666
2012-08-24,19.9205
2012-08-31,19.9811
2012-09-07,20.4377
2012-09-14,20.7633
2012-09-21,21.028
2012-09-28,20.0372
2012-10-05,19.6012
2012-10-12,18.9141
2012-10-19,18.3171
2012-10-26,18.1417
2012-11-02,17.3248
2012-11-09,16.5095
2012-11-16,15.9246
2012-11-23,17.2471
2012-11-30,17.6629
2012-12-07,16.0928
2012-12-14,15.3849
2012-12-21,15.6727
2012-12-28,15.3787
2013-01-04,15.9041
2013-01-11,15.7019
2013-01-18,15.0893
2013-01-25,13.275
2013-02-01,13.6896
2013-02-08,14.4154
2013-02-15,13.9656
2013-02-22,13.6818
2013-03-01,13.0645
2013-03-08,13.1025
2013-03-15,13.4648
2013-03-22,14.0187
2013-03-28,13.4345
2013-04-05,12.8439
2013-04-12,13.0442
2013-04-19,11.8524
2013-04-26,12.6619
2013-05-03,13.6566
2013-05-10,13.8392
2013-05-17,13.237
2013-05-24,13.6003
2013-05-31,13.7403
2013-06-07,13.4982
2013-06-14,13.1389
2013-06-21,12.6333
2013-06-28,12.1148
2013-07-05,12.753
2013-07-12,13.0308
2013-07-19,12.9831
2013-07-26,13.4732
2013-08-02,14.1316
2013-08-09,13.9763
2013-08-16,15.4488
2013-08-23,15.4085
2013-08-30,14.9839
2013-09-06,15.3224
2013-09-13,14.2976
2013-09-20,14.3748
2013-09-27,14.8466
2013-10-04,14.8552
2013-10-11,15.156
2013-10-18,15.6505
2013-10-25,16.1754
2013-11-01,15.9931
2013-11-08,16.1031
2013-11-15,16.2402
2013-11-22,16.0796
2013-11-29,17.2016
2013-12-06,17.3238
2013-12-13,17.1509
2013-12-20,16.9835
2013-12-27,17.326
2014-01-03,16.7348
2014-01-10,16.4861
2014-01-17,16.7252
2014-01-24,16.8923
2014-01-31,15.4857
2014-02-07,16.1716
2014-02-14,16.9281
2014-02-21,16.3449
2014-02-28,16.3757
2014-03-07,16.5064
2014-03-14,16.3275
2014-03-21,16.582
2014-03-28,16.7062
2014-04-04,16.5494
2014-04-11,16.1694
